Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,gi   gk,Type,TP,Line
C III,,759.436,13167.66,,27500000.0,0.306,C+,41.337764      -     42.970346,1s2.2p.(2P*).3d | 3F*  | 3,1s2.2s.5g            | 3G      | 4,7 - 9,,T5600c20,
C III,,759.436,13167.66,,2360000.0,0.0204,C+,41.337764      -     42.970346,1s2.2p.(2P*).3d | 3F*  | 3,1s2.2s.5g            | 3G      | 3,7 - 7,,"T5600c20,n,LS",
C III,,759.74,13162.4,,1940000.0,0.0168,B,38.217994      -     39.849924,1s2.2p.(2P*).3s | 3P*  | 1,1s2.2s.4d            | 3D      | 1,3 - 3,,T5633LS,
C I,,761.4214,13133.333,,52000.0,0.00045,C,8.771134696   -     10.3994604,2s2.2p.3p       | 3S   | 1,2s2.2p.5s            | 1P*     | 1,3 - 3,,T6070,
C III,,761.455,13132.76,,4630000.0,0.0563,B,38.226472      -     39.854727,1s2.2p.(2P*).3s | 3P*  | 2,1s2.2s.4d            | 3D      | 3,5 - 7,,T5633LS,
C III,761.475,761.484,13132.41,150,29200000.0,0.31,C+,41.342189      -     42.970380,1s2.2p.(2P*).3d | 3F*  | 4,1s2.2s.5g            | 3G      | 5,9 - 11,,T5600c20,L1113
C III,,761.5,13131.97,,1820000.0,0.0158,C+,41.342189      -     42.970346,1s2.2p.(2P*).3d | 3F*  | 4,1s2.2s.5g            | 3G      | 4,9 - 9,,"T5600c20,n,LS",
C III,,761.5,13131.97,,35600.0,0.000241,C+,41.342189      -     42.970346,1s2.2p.(2P*).3d | 3F*  | 4,1s2.2s.5g            | 3G      | 3,9 - 7,,"T5600c20,n,LS",
U I,762.145,,13120.87,16,,,,,|      |,|         |,,,,L3475
C III,,762.809,13109.45,,1150000.0,0.01,B,38.226472      -     39.851837,1s2.2p.(2P*).3s | 3P*  | 2,1s2.2s.4d            | 3D      | 2,5 - 5,,T5633LS,
C I,,763.702705,13094.1005,,16000.0,0.00023,C,8.771134696   -     10.39459625,2s2.2p.3p       | 3S   | 1,2s2.2p.4d            | 3D*     | 2,3 - 5,,T6070,
C III,,763.707,13094.02,,128000.0,0.000672,B,38.226472      -     39.849924,1s2.2p.(2P*).3s | 3P*  | 2,1s2.2s.4d            | 3D      | 1,5 - 3,,T5633LS,
C I,766.455,766.452924,13047.08,27000,1200000.0,0.0176,B,8.771134696   -     10.38877088,2s2.2p.3p       | 3S   | 1,2s2.2p.5s            | 3P*     | 2,3 - 5,,T6070n,L9405c184
C I,768.729,768.73012,13008.49,23000bl,1140000.0,0.0101,B,8.771134696   -     10.38397899,2s2.2p.3p       | 3S   | 1,2s2.2p.5s            | 3P*     | 1,3 - 3,,T6070n,L9405c184
C I,769.4612,769.46018,12996.107,9100,1180000.0,0.0035,B,8.771134696   -     10.38244873,2s2.2p.3p       | 3S   | 1,2s2.2p.5s            | 3P*     | 0,3 - 1,,T6070n,L17684
