Spectrum,Observed,Ritz,Transition,Rel.,Aki,fik,Acc.,Ei           Ek,Lower level,Upper level,gi   gk,Type,TP,Line
C I,,1056.226,9467.67,,9000.0,0.00043,D,9.83482192    -     11.008664,2s2.2p.3d       | 3P*  | 0,2s2.2p.(2P*<1/2>).8p | 2[1/2]  | 1,1 - 3,,T5520LS,
C I,,1058.05616,9451.2942,,4900.0,0.00014,C,8.53709962    -      9.708910751,2s2.2p.3p       | 1P   | 1,2s2.2p.3d            | 3D*     | 2,3 - 5,,T6070,
C II,,1059.509,9438.33,,7560000.0,0.191,C+,26.827651      -     27.99786,2s.2p.(3P*).4p  | 4P   | 3/2,2s.2p.(3P*).5s       | 4P*     | 5/2,4 - 6,,T10528,
C I,,1059.64076,9437.1606,,7200.0,0.00012,C,8.53709962    -      9.70715841,2s2.2p.3p       | 1P   | 1,2s2.2p.3d            | 3D*     | 1,3 - 3,,T6070,
C II,,1061.869,9417.36,,15700000.0,0.265,B,26.830251      -     27.99786,2s.2p.(3P*).4p  | 4P   | 5/2,2s.2p.(3P*).5s       | 4P*     | 5/2,6 - 6,,T10528,
C II,,1062.808,9409.04,,9230000.0,0.313,C+,26.825558      -     27.99213,2s.2p.(3P*).4p  | 4P   | 1/2,2s.2p.(3P*).5s       | 4P*     | 3/2,2 - 4,,T10528,
C I,,1063.42503,9403.5778,,40.0,1.2e-06,E,7.68476777    -      8.850662829,2s2.2p.3s       | 1P*  | 1,2s2.2p.3p            | 3P      | 2,3 - 5,,u24,
C II,,1064.718,9392.16,,2410000.0,0.041,C+,26.827651      -     27.99213,2s.2p.(3P*).4p  | 4P   | 3/2,2s.2p.(3P*).5s       | 4P*     | 3/2,4 - 4,,T10528,
C II,,1065.46,9385.6,,3580000.0,0.0609,C+,26.825558      -     27.98922,2s.2p.(3P*).4p  | 4P   | 1/2,2s.2p.(3P*).5s       | 4P*     | 1/2,2 - 2,,T10528,
C I,,1065.74542,9383.1038,,4000.0,7e-05,E,7.68476777    -      8.848124381,2s2.2p.3s       | 1P*  | 1,2s2.2p.3p            | 3P      | 1,3 - 3,,T9787,
C II,,1067.1,9371.19,,9540000.0,0.109,C+,26.830251      -     27.99213,2s.2p.(3P*).4p  | 4P   | 5/2,2s.2p.(3P*).5s       | 4P*     | 3/2,6 - 4,,T10528,
C I,,1067.15485,9370.7113,,2600.0,1.5e-05,E,7.68476777    -      8.84658790,2s2.2p.3s       | 1P*  | 1,2s2.2p.3p            | 3P      | 0,3 - 1,,T9787,
C II,,1067.38,9368.7,,16200000.0,0.138,C+,26.827651      -     27.98922,2s.2p.(3P*).4p  | 4P   | 3/2,2s.2p.(3P*).5s       | 4P*     | 1/2,4 - 2,,T10528,
C I,1068.60103,1068.6011,9358.0295,34000000,14000000.0,0.4,B,7.48277598    -      8.643023685,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 3D      | 2,3 - 5,,"T6070n,T4828n,u24",L12175c183
C I,1068.82751,1068.82754,9356.0466,15000000,10400000.0,0.53,B,7.48039414    -      8.64039604,2s2.2p.3s       | 3P*  | 0,2s2.2p.3p            | 3D      | 1,1 - 3,,"T6070n,T4828n,u24",L12175c183
C I,1069.41781,1069.41774,9350.8822,46000000,18400000.0,0.44,B,7.48779869    -      8.647160399,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 3D      | 3,5 - 7,,"T6070n,T4828n,u24",L12175c183
C I,1071.02686,1071.02668,9336.834,14000000,7500000.0,0.129,B,7.48277598    -      8.64039604,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 3D      | 1,3 - 3,,"T6070n,T4828n,u24",L12175c183
C I,1073.24722,1073.24719,9317.5177,13000000,4400000.0,0.076,B,7.48779869    -      8.643023685,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 3D      | 2,5 - 5,,"T6070n,T4828n,u24",L12175c183
C I,1075.693,1075.69393,9296.33,3900000bl,480000.0,0.005,B,7.48779869    -      8.64039604,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 3D      | 1,5 - 3,,"T6070n,T4828n,u24",L9405c184
C I,,1076.22282,9291.7562,,5500.0,0.00016,C,8.53709962    -      9.689130559,2s2.2p.3p       | 1P   | 1,2s2.2p.4s            | 3P*     | 2,3 - 5,,T6070,
C I,,1079.86448,9260.4213,,72000.0,0.0013,C,8.53709962    -      9.685245529,2s2.2p.3p       | 1P   | 1,2s2.2p.4s            | 3P*     | 1,3 - 3,,T6070,
U I,1080.274,,9256.91,50,,,,,|      |,|         |,,,,u10
U I,1082.689,,9236.26,25,,,,,|      |,|         |,,,,u10
C I,,1083.065,9233.057,,156000.0,0.00165,B,9.631071843   -     10.775825,2s2.2p.3d       | 1D*  | 2,2s2.2p.6p            | 1P      | 1,5 - 3,,T5520,
C II,,1093.304,9146.59,,6540000.0,0.176,B,22.130595      -     23.264628,2s2.5d          | 2D   | 3/2,2s2.7f               | 2F*     | 5/2,4 - 6,,T7476,
C II,,1093.331,9146.36,,7010000.0,0.167,B,22.130626      -     23.264631,2s2.5d          | 2D   | 5/2,2s2.7f               | 2F*     | 7/2,6 - 8,,T7476,
C II,,1093.334,9146.34,,450000.0,0.008,C,22.130626      -     23.264628,2s2.5d          | 2D   | 5/2,2s2.7f               | 2F*     | 5/2,6 - 6,,T10276,
C I,,1105.97427,9041.8017,,71000.0,0.0013,C,8.64039604    -      9.76143658,2s2.2p.3p       | 3D   | 1,2s2.2p.3d            | 1P*     | 1,3 - 3,,T6070,
U I,1109.881,,9009.98,25,,,,,|      |,|         |,,,,u10
C I,,1111.018,9000.75,,810000.0,0.005,C,9.71295903    -     10.828910,2s2.2p.4s       | 1P*  | 1,2s2.2p.6p            | 1S      | 0,3 - 1,,T5520,
U I,1117.09,,8951.83,75,,,,,|      |,|         |,,,,u10
C III,,1121.29,8918.0,,5560000.0,0.175,B,44.275957      -     45.3817,1s2.2s.6p       | 1P*  | 1,1s2.2s.7d            | 1D      | 2,3 - 5,,T5633,
C I,1126.3827,1126.3827,8877.977,49000,180000.0,0.0058,C,9.71295903    -     10.8136879,2s2.2p.4s       | 1P*  | 1,2s2.2p.6p            | 1D      | 2,3 - 5,,T5520,L12175c183
U I,1129.722,,8851.73,50,,,,,|      |,|         |,,,,u10
C I,,1133.148,8824.97,,24000.0,0.0006,D,9.833294423   -     10.927451,2s2.2p.3d       | 3P*  | 2,2s2.2p.7p            | 3D      | 3,5 - 7,,T5520LS,
C I,1133.33924,1133.33955,8823.4834,2800000q,20300000.0,0.65,B,8.53709962    -      9.631071843,2s2.2p.3p       | 1P   | 1,2s2.2p.3d            | 1D*     | 2,3 - 5,,"T5520,T6070,T4828",L12175c183
C I,,1133.822,8819.726,,2000.0,6e-05,D,9.70715841    -     10.800665,2s2.2p.3d       | 3D*  | 1,2s2.2p.6p            | 3P      | 2,3 - 5,,T5520LS,
C I,1133.917,1133.92065,8818.99,45000bl*,150000.0,0.0041,C,8.643023685   -      9.73643528,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 1F*     | 3,5 - 7,,T6070,L9405c186
C I,1133.917,1133.9257,8818.99,45000bl*,400000.0,0.008,E,9.631071843   -     10.7244786,2s2.2p.3d       | 1D*  | 2,2s2.2p.(2P*<3/2>).5f | 2[3/2]  | 2,5 - 5,,T9787,L9405c186
C I,,1135.1226,8809.621,,50000.0,0.001,D,9.70715841    -     10.7994123,2s2.2p.3d       | 3D*  | 1,2s2.2p.6p            | 3P      | 1,3 - 3,,T5520LS,
C I,,1135.6419,8805.593,,30000.0,0.0006,D,9.708910751   -     10.800665,2s2.2p.3d       | 3D*  | 2,2s2.2p.6p            | 3P      | 2,5 - 5,,T5520LS,
C I,,1135.9482,8803.219,,310.0,8e-06,D,9.69545167    -     10.786912,2s2.2p.3d       | 3F*  | 2,2s2.2p.6p            | 3D      | 3,5 - 7,,T5520LS,
C I,,1136.9466,8795.488,,150000.0,0.0017,D,9.708910751   -     10.7994123,2s2.2p.3d       | 3D*  | 2,2s2.2p.6p            | 3P      | 1,5 - 3,,T5520LS,
C I,,1137.0132,8794.973,,170000.0,0.0023,D,9.710227435   -     10.800665,2s2.2p.3d       | 3D*  | 3,2s2.2p.6p            | 3P      | 2,7 - 5,,T5520LS,
C I,1137.6949,1137.6939,8789.703,23000,1600000.0,0.042,D,9.631071843   -     10.7208571,2s2.2p.3d       | 1D*  | 2,2s2.2p.(2P*<3/2>).5f | 2[7/2]  | 3,5 - 7,,T9787,L12175c183
C II,,1138.005,8787.31,,1860000.0,0.0724,B,21.732863      -     22.822350,2s2.5p          | 2P*  | 1/2,2s2.6d               | 2D      | 3/2,2 - 4,,T7476,
C I,,1138.0746,8786.77,,11000.0,0.00021,D,9.697491047   -     10.786912,2s2.2p.3d       | 3F*  | 3,2s2.2p.6p            | 3D      | 3,7 - 7,,T5520LS,
C I,,1138.279,8785.19,,6000.0,0.00011,D,9.833294423   -     10.922519,2s2.2p.3d       | 3P*  | 2,2s2.2p.7p            | 3D      | 2,5 - 5,,T5520LS,
C I,,1138.448,8783.889,,200000.0,0.0013,D,9.70715841    -     10.796222,2s2.2p.3d       | 3D*  | 1,2s2.2p.6p            | 3P      | 0,3 - 1,,T5520LS,
C I,,1138.63525,8782.4437,,990000.0,0.032,C,9.33030708    -     10.41919132,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).4f | 2[3/2]  | 2,3 - 5,,T6070,
C I,,1138.64995,8782.3303,,950000.0,0.018,C,9.33030708    -     10.41917726,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).4f | 2[3/2]  | 1,3 - 3,,T6070,
U I,1138.725,,8781.75,100,,,,,|      |,|         |,,,,u10
C I,,1138.80279,8781.1517,,340000.0,0.0066,C,9.330467271   -     10.41919132,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).4f | 2[3/2]  | 2,5 - 5,,T6070,
C I,,1138.805,8781.132,,600.0,8e-06,D,9.833294423   -     10.922016,2s2.2p.3d       | 3P*  | 2,2s2.2p.7p            | 3D      | 1,5 - 3,,T5520LS,
C I,,1138.81749,8781.0383,,65000.0,0.00075,C,9.330467271   -     10.41917726,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).4f | 2[3/2]  | 1,5 - 3,,T6070,
C II,,1138.872,8780.62,,2240000.0,0.0653,B,21.733778      -     22.822436,2s2.5p          | 2P*  | 3/2,2s2.6d               | 2D      | 5/2,4 - 6,,T7476,
C I,1138.9319,1138.9311,8780.156,22000,1300000.0,0.074,C,9.33057587    -     10.41917726,2s.2p3          | 3P*  | 0,2s2.2p.(2P*<3/2>).4f | 2[3/2]  | 1,1 - 3,,T6070,L12175c183
C II,,1138.961,8779.93,,370000.0,0.0073,D+,21.733778      -     22.822350,2s2.5p          | 2P*  | 3/2,2s2.6d               | 2D      | 3/2,4 - 4,,T7476,
C I,,1139.309,8777.25,,17000.0,0.0006,D,9.83427899    -     10.922519,2s2.2p.3d       | 3P*  | 1,2s2.2p.7p            | 3D      | 2,3 - 5,,T5520LS,
C I,,1139.836,8773.191,,10000.0,0.00019,D,9.83427899    -     10.922016,2s2.2p.3d       | 3P*  | 1,2s2.2p.7p            | 3D      | 1,3 - 3,,T5520LS,
C I,,1140.405,8768.812,,13000.0,0.0007,D,9.83482192    -     10.922016,2s2.2p.3d       | 3P*  | 0,2s2.2p.7p            | 3D      | 1,1 - 3,,T5520LS,
C I,,1140.7188,8766.403,,15000.0,0.0003,D,9.69545167    -     10.782347,2s2.2p.3d       | 3F*  | 2,2s2.2p.6p            | 3D      | 2,5 - 5,,T5520LS,
C I,,1141.27369,8762.1402,,6400.0,0.00013,C,7.68476777    -      8.771134696,2s2.2p.3s       | 1P*  | 1,2s2.2p.3p            | 3S      | 1,3 - 3,,"T6070,u24",
U I,1141.355,,8761.51,25,,,,,|      |,|         |,,,,u10
C I,1141.6254,1141.62687,8759.441,19000,640000.0,0.021,C,9.33030708    -     10.41633791,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<3/2>).4f | 2[5/2]  | 2,3 - 5,,T6070,L12175c183
C I,,1141.79529,8758.1374,,220000.0,0.0043,C,9.330467271   -     10.41633791,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).4f | 2[5/2]  | 2,5 - 5,,T6070,
C I,1141.8163,1141.815607,8757.976,63000,2100000.0,0.056,C,9.330467271   -     10.416318591,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<3/2>).4f | 2[5/2]  | 3,5 - 7,,T6070,L12175c183
C I,,1141.933,8757.085,,140000.0,0.0016,D,9.69545167    -     10.781192,2s2.2p.3d       | 3F*  | 2,2s2.2p.6p            | 3D      | 1,5 - 3,,T5520LS,
C I,,1142.5512,8752.343,,130000.0,0.0019,D,9.701759406   -     10.786912,2s2.2p.3d       | 3F*  | 4,2s2.2p.6p            | 3D      | 3,9 - 7,,T5520LS,
C I,,1142.8632,8749.954,,120000.0,0.0017,D,9.697491047   -     10.782347,2s2.2p.3d       | 3F*  | 3,2s2.2p.6p            | 3D      | 2,7 - 5,,T5520LS,
C II,,1144.826,8734.95,,8760000.0,0.229,B,22.187763      -     23.270759,2s2.5f          | 2F*  | 5/2,2s2.7g               | 2G      | 7/2,6 - 8,,T7476,
C II,,1144.833,8734.9,,9080000.0,0.223,B,22.187773      -     23.270763,2s2.5f          | 2F*  | 7/2,2s2.7g               | 2G      | 9/2,8 - 10,,T7476,
C II,,1144.837,8734.87,,320000.0,0.0064,D+,22.187773      -     23.270759,2s2.5f          | 2F*  | 7/2,2s2.7g               | 2G      | 7/2,8 - 8,,T7476,
C I,1144.8566,1144.85467,8734.719,36000,1400000.0,0.039,D,9.631071843   -     10.71404072,2s2.2p.3d       | 1D*  | 2,2s2.2p.(2P*<1/2>).5f | 2[7/2]  | 3,5 - 7,,T9787,L12175c183
C I,1145.171,1145.17394,8732.318,8900,210000.0,0.004,E,9.631071843   -     10.71373880,2s2.2p.3d       | 1D*  | 2,2s2.2p.(2P*<1/2>).5f | 2[5/2]  | 2,5 - 5,,T9787,L12175c183
C I,1145.1876,1145.18717,8732.194,14000,1700000.0,0.05,D,9.631071843   -     10.71372629,2s2.2p.3d       | 1D*  | 2,2s2.2p.(2P*<1/2>).5f | 2[5/2]  | 3,5 - 7,,T9787,L12175c183
C I,,1150.1307,8694.664,,2500.0,7e-05,D,9.708910751   -     10.786912,2s2.2p.3d       | 3D*  | 2,2s2.2p.6p            | 3D      | 3,5 - 7,,T5520LS,
U I,1150.653,,8690.72,50,,,,,|      |,|         |,,,,u10
C I,,1150.9296,8688.628,,260000.0,0.0037,B,9.73643528    -     10.8136879,2s2.2p.3d       | 1F*  | 3,2s2.2p.6p            | 1D      | 2,7 - 5,,T5520,
C I,,1151.5372,8684.044,,20000.0,0.00039,D,9.710227435   -     10.786912,2s2.2p.3d       | 3D*  | 3,2s2.2p.6p            | 3D      | 3,7 - 7,,T5520LS,
C I,,1153.139,8671.981,,3300.0,0.00011,D,9.70715841    -     10.782347,2s2.2p.3d       | 3D*  | 1,2s2.2p.6p            | 3D      | 2,3 - 5,,T5520LS,
C I,,1153.96527,8665.772,,85000.0,0.0028,C,9.33030708    -     10.40472588,2s.2p3          | 3P*  | 1,2s2.2p.(2P*<1/2>).4f | 2[5/2]  | 2,3 - 5,,T6070,
C I,,1154.13735,8664.48,,29000.0,0.00059,C,9.330467271   -     10.40472588,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).4f | 2[5/2]  | 2,5 - 5,,T6070,
C I,1154.147,1154.15207,8664.41,15000,300000.0,0.0083,C,9.330467271   -     10.404712177,2s.2p3          | 3P*  | 2,2s2.2p.(2P*<1/2>).4f | 2[5/2]  | 3,5 - 7,,T6070,L9405c186
C I,,1154.379,8662.663,,16000.0,0.00033,D,9.70715841    -     10.781192,2s2.2p.3d       | 3D*  | 1,2s2.2p.6p            | 3D      | 1,3 - 3,,T5520LS,
C I,,1155.0215,8657.848,,15000.0,0.0003,D,9.708910751   -     10.782347,2s2.2p.3d       | 3D*  | 2,2s2.2p.6p            | 3D      | 2,5 - 5,,T5520LS,
C I,1155.957,1155.96193,8650.839,23000,200000.0,0.004,C,8.64039604    -      9.71295903,2s2.2p.3p       | 3D   | 1,2s2.2p.4s            | 1P*     | 1,3 - 3,,T6070,L9405c186
C I,,1156.266,8648.53,,5000.0,7e-05,D,9.708910751   -     10.781192,2s2.2p.3d       | 3D*  | 2,2s2.2p.6p            | 3D      | 1,5 - 3,,T5520LS,
C I,,1156.44,8647.228,,3400.0,5e-05,D,9.710227435   -     10.782347,2s2.2p.3d       | 3D*  | 3,2s2.2p.6p            | 3D      | 2,7 - 5,,T5520LS,
U I,1157.198,,8641.57,25,,,,,|      |,|         |,,,,u10
C I,1158.796,1158.80085,8629.65,70000,400000.0,0.0049,C,8.643023685   -      9.71295903,2s2.2p.3p       | 3D   | 2,2s2.2p.4s            | 1P*     | 1,5 - 3,,T6070,L9405c186
C II,,1159.033,8627.88,,8030000.0,0.202,B,22.202225      -    [23.271946],2s2.5g          | 2G   | 7/2,2s2.7h               | 2H*     | 9/2,8 - 10,,T7476,
C II,,1159.043,8627.81,,180000.0,0.0037,D+,22.202234      -    [23.271946],2s2.5g          | 2G   | 9/2,2s2.7h               | 2H*     | 9/2,10 - 10,,T7476,
C II,,1159.043,8627.81,,8210000.0,0.198,B,22.202234      -    [23.271946],2s2.5g          | 2G   | 9/2,2s2.7h               | 2H*     | 11/2,10 - 12,,T7476,
C I,,1160.34152,8618.15232,,50000.0,0.0018,D,8.64039604    -      9.708910751,2s2.2p.3p       | 3D   | 1,2s2.2p.3d            | 3D*     | 2,3 - 5,,"T6070n,T4828n",
C I,,1161.766892,8607.57874,,50000.0,0.0015,D,8.643023685   -      9.710227435,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3D*     | 3,5 - 7,,"T6070n,T4828n",
C I,1162.24767,1162.24759,8604.0181,260000,4400000.0,0.089,B,8.64039604    -      9.70715841,2s2.2p.3p       | 3D   | 1,2s2.2p.3d            | 3D*     | 1,3 - 3,,"T6070n,T4828n",L12175c183
C I,,1162.54,8601.85,,250000.0,0.005,D,9.98852478    -     11.055019,2s2.2p.4p       | 1P   | 1,2s2.2p.(2P*<3/2>).8d | 2[3/2]* | 1,3 - 3,,T5520,
C I,1163.20212,1163.20202,8596.9582,470000,5400000.0,0.11,B,8.643023685   -      9.708910751,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3D*     | 2,5 - 5,,"T6070n,T4828n",L12175c183
C III,,1164.33,8589.0,,5310000.0,0.324,B,44.268481      -     45.3333,1s2.2s.6p       | 3P*  | 0,1s2.2s.7d            | 3D      | 1,1 - 3,,T5633LS,
C III,,1164.44,8588.0,,7160000.0,0.243,B,44.268579      -     45.3333,1s2.2s.6p       | 3P*  | 1,1s2.2s.7d            | 3D      | 2,3 - 5,,T5633LS,
C III,,1164.44,8588.0,,3980000.0,0.0809,B,44.268579      -     45.3333,1s2.2s.6p       | 3P*  | 1,1s2.2s.7d            | 3D      | 1,3 - 3,,T5633LS,
C III,,1164.58,8587.0,,9550000.0,0.272,B,44.268711      -     45.3333,1s2.2s.6p       | 3P*  | 2,1s2.2s.7d            | 3D      | 3,5 - 7,,T5633LS,
C III,,1164.58,8587.0,,2390000.0,0.0486,B,44.268711      -     45.3333,1s2.2s.6p       | 3P*  | 2,1s2.2s.7d            | 3D      | 2,5 - 5,,T5633LS,
C III,,1164.58,8587.0,,265000.0,0.00323,B,44.268711      -     45.3333,1s2.2s.6p       | 3P*  | 2,1s2.2s.7d            | 3D      | 1,5 - 3,,T5633LS,
C I,1165.1167,1165.1175,8582.832,160000,1580000.0,0.0193,B,8.643023685   -      9.70715841,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3D*     | 1,5 - 3,,"T6070n,T4828n",L12175c183
C I,1165.60782,1165.60767,8579.2149,160000,8400000.0,0.057,B,8.771134696   -      9.83482192,2s2.2p.3p       | 3S   | 1,2s2.2p.3d            | 3P*     | 0,3 - 1,,"T6070n,T4828n",L12175c183
C I,1166.20306,1166.20292,8574.836,400000,8600000.0,0.176,B,8.771134696   -      9.83427899,2s2.2p.3p       | 3S   | 1,2s2.2p.3d            | 3P*     | 1,3 - 3,,"T6070n,T4828n",L12175c183
C I,1166.28769,1166.287677,8574.2138,880000,7500000.0,0.153,B,8.647160399   -      9.710227435,2s2.2p.3p       | 3D   | 3,2s2.2p.3d            | 3D*     | 3,7 - 7,,"T6070n,T4828n",L12175c183
C I,,1166.508,8572.592,,120000.0,0.0023,C,9.71295903    -     10.775825,2s2.2p.4s       | 1P*  | 1,2s2.2p.6p            | 1P      | 1,3 - 3,,T5520,
C II,,1167.01,8568.88,,2800.0,5.7e-05,C,22.202225      -     23.264631,2s2.5g          | 2G   | 7/2,2s2.7f               | 2F*     | 7/2,8 - 8,,T10276,
C II,,1167.02,8568.86,,101000.0,0.0015,C,22.202225      -     23.264628,2s2.5g          | 2G   | 7/2,2s2.7f               | 2F*     | 5/2,8 - 6,,T10276,
C II,,1167.02,8568.81,,98000.0,0.0016,C,22.202234      -     23.264631,2s2.5g          | 2G   | 9/2,2s2.7f               | 2F*     | 7/2,10 - 8,,T10276,
C I,1167.28394,1167.283933,8566.8959,890000,9100000.0,0.31,B,8.771134696   -      9.833294423,2s2.2p.3p       | 3S   | 1,2s2.2p.3d            | 3P*     | 2,3 - 5,,"T6070n,T4828n",L12175c183
C I,1167.7341,1167.734,8563.594,160000,1570000.0,0.0229,B,8.647160399   -      9.708910751,2s2.2p.3p       | 3D   | 3,2s2.2p.3d            | 3D*     | 2,7 - 5,,"T6070n,T4828n",L12175c183
C I,,1173.30894,8522.9045,,2200.0,0.00014,D,7.48039414    -      8.53709962,2s2.2p.3s       | 3P*  | 0,2s2.2p.3p            | 1P      | 1,1 - 3,,"T6070,u24",
C I,1175.143713,1175.143711,8509.5975,3200000,22900000.0,0.79,B,8.64039604    -      9.69545167,2s2.2p.3p       | 3D   | 1,2s2.2p.3d            | 3F*     | 2,3 - 5,,"T6070n,T4828n",L12175c183
C I,1175.652528,1175.652524,8505.9146,5900000,26000000.0,0.7,B,8.647160399   -      9.701759406,2s2.2p.3p       | 3D   | 3,2s2.2p.3d            | 3F*     | 4,7 - 9,,"T6070n,T4828n",L12175c183
C I,1175.799303,1175.799298,8504.8528,4400000,24000000.0,0.7,B,8.643023685   -      9.697491047,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3F*     | 3,5 - 7,,"T6070n,T4828n",L12175c183
C I,1175.9596,1175.95957,8503.6935,120000,25000.0,0.0005,D,7.48277598    -      8.53709962,2s2.2p.3s       | 3P*  | 1,2s2.2p.3p            | 1P      | 1,3 - 3,,"T6070,u24",L12175c183
C I,1178.07744,1178.07774,8488.4063,380000,2900000.0,0.06,B,8.643023685   -      9.69545167,2s2.2p.3p       | 3D   | 2,2s2.2p.3d            | 3F*     | 2,5 - 5,,"T6070n,T4828n",L12175c183
U II,1178.795,,8483.24,20,,,,,|      |,|         |,,,,u10
C III,,1179.414,8478.79,,7140.0,0.000149,D,40.197226      -     41.248462,1s2.2s.4d       | 1D   | 2,1s2.2p.(2P*).3d      | 1D*     | 2,5 - 5,,T5633,
C I,1180.43053,1180.430169,8471.4854,230000,1260000.0,0.026,B,8.647160399   -      9.697491047,2s2.2p.3p       | 3D   | 3,2s2.2p.3d            | 3F*     | 3,7 - 7,,"T6070n,T4828n",L12175c183
C I,,1181.58857,8463.1828,,0.26,3.3e-09,E,7.48779869    -      8.53709962,2s2.2p.3s       | 3P*  | 2,2s2.2p.3p            | 1P      | 1,5 - 3,,u24,
C I,1182.2268,1182.22674,8458.614,58000bl,310000.0,0.0108,B,8.64039604    -      9.689130559,2s2.2p.3p       | 3D   | 1,2s2.2p.4s            | 3P*     | 2,3 - 5,,"T6070n,T4828n",L9405c186
C I,1182.721,1182.72661,8455.08,14000,2900.0,4.4e-05,B,8.647160399   -      9.69545167,2s2.2p.3p       | 3D   | 3,2s2.2p.3d            | 3F*     | 2,7 - 5,,"T6070n,T4828n",L9405c186
C III,,1183.372,8450.43,,8.56e-09,8.99e-16,D,17.038615      -     18.086335,1s2.2p2         | 3P   | 0,1s2.2p2              | 1D      | 2,1 - 5,E2,T4586,
C I,1185.19625,1185.196288,8437.4212,230000,1910000.0,0.04,B,8.643023685   -      9.689130559,2s2.2p.3p       | 3D   | 2,2s2.2p.4s            | 3P*     | 2,5 - 5,,"T6070n,T4828n",L12175c183
U I,1186.267,,8429.81,100,,,,,|      |,|         |,,,,u10
C I,1186.62253,1186.62257,8427.2797,220000,3100000.0,0.065,B,8.64039604    -      9.685245529,2s2.2p.3p       | 3D   | 1,2s2.2p.4s            | 3P*     | 1,3 - 3,,"T6070n,T4828n",L12175c183
C III,,1187.404,8421.73,,0.000198,6.98e-12,C,17.042174      -     18.086335,1s2.2p2         | 3P   | 1,1s2.2p2              | 1D      | 2,3 - 5,M1,T4492,
C III,,1187.404,8421.73,,8.88e-08,3.13e-15,D,17.042174      -     18.086335,1s2.2p2         | 3P   | 1,1s2.2p2              | 1D      | 2,3 - 5,E2,T4586,
C I,1188.2818,1188.28259,8415.512,310000q,11600000.0,0.082,B,8.64039604    -      9.68378589,2s2.2p.3p       | 3D   | 1,2s2.2p.4s            | 3P*     | 0,3 - 1,,"T6070n,T4828n",L12175c183
C I,1189.61413,1189.614275,8406.0871,560000,8300000.0,0.106,B,8.643023685   -      9.685245529,2s2.2p.3p       | 3D   | 2,2s2.2p.4s            | 3P*     | 1,5 - 3,,"T6070n,T4828n",L12175c183
C I,1189.90159,1189.901622,8404.0563,1000000,9200000.0,0.14,B,8.647160399   -      9.689130559,2s2.2p.3p       | 3D   | 3,2s2.2p.4s            | 3P*     | 2,7 - 5,,"T6070n,T4828n",L12175c183
C II,,1190.9,8397.0,,26000.0,0.00055,D+,22.187763      -     23.22886,2s2.5f          | 2F*  | 5/2,2s2.7d               | 2D      | 5/2,6 - 6,,T10276,
C II,,1190.9,8397.0,,540000.0,0.0077,D+,22.187763      -     23.22886,2s2.5f          | 2F*  | 5/2,2s2.7d               | 2D      | 3/2,6 - 4,,T10276,
C II,,1190.91,8396.9,,510000.0,0.0082,D+,22.187773      -     23.22886,2s2.5f          | 2F*  | 7/2,2s2.7d               | 2D      | 5/2,8 - 6,,T10276,
U I,1191.209,,8394.83,100,,,,,|      |,|         |,,,,u10
C I,,1192.24,8387.56,,4400.0,9e-05,D,10.01574721    -     11.055672,2s2.2p.4p       | 3D   | 1,2s2.2p.(2P*<3/2>).8d | 2[1/2]* | 1,3 - 3,,T5520LS,
C I,,1192.36,8386.8,,18000.0,0.00012,D,10.01574721    -     11.05557,2s2.2p.4p       | 3D   | 1,2s2.2p.(2P*<3/2>).8d | 2[1/2]* | 0,3 - 1,,T5520LS,
C I,1193.038,1193.0356,8381.958,3400,160000.0,0.006,E,9.685245529   -     10.7244786,2s2.2p.4s       | 3P*  | 1,2s2.2p.(2P*<3/2>).5f | 2[3/2]  | 2,3 - 5,,T9787,L9405c186
C I,,1193.3,8380.2,,170.0,6e-06,D,10.01574721    -     11.05475,2s2.2p.4p       | 3D   | 1,2s2.2p.(2P*<3/2>).8d | 2[3/2]* | 2,3 - 5,,T5520LS,
C III,,1194.155,8374.12,,0.000628,1.34e-11,C+,17.048076      -     18.086335,1s2.2p2         | 3P   | 2,1s2.2p2              | 1D      | 2,5 - 5,M1,T4492,
C III,,1194.155,8374.12,,6.1e-07,1.3e-14,D,17.048076      -     18.086335,1s2.2p2         | 3P   | 2,1s2.2p2              | 1D      | 2,5 - 5,E2,T4586,
