v	1-F	EW0	WLobs	WLvald	ID	Trans	cp	M
 4037.54	 0.082	  30	2476.75	2476.75	CO  	CO6-4R100        	X  	B
 4037.52	 0.072	  19	2476.77	2476.77	CO  	13CO6-4R27       	X  	A
 4036.36	 0.012	   5	2477.48	2477.45	FeI 	                 	X  	B
 4036.00	 0.045	  18	2477.70	2477.70	CO  	13CO3-1P19       	X  	A
 4035.57	 0.098	   7	2477.96	2477.96	CO  	13CO5-3R5        	X  	B
 4035.50	 0.237	 141	2478.01	2478.01	CO  	CO7-5R11         	X  	A
 4035.10	 0.080	   7	2478.25	2478.25	CO  	13CO4-2P8        	X  	A
 4035.08	 0.053	  34	2478.27	2478.26	CO  	CO7-5R85         	X  	B
 4034.43	 0.345	 157	2478.67	       	U   	                 	X  	F
 4034.27	 0.314	  86	2478.76	2478.76	CO  	CO8-6R48         	X  	B
 4034.25	 0.307	  88	2478.78	2478.78	CO  	CO8-6R47         	X  	B
 4034.23	 0.289	  84	2478.79	2478.79	CO  	CO8-6R49         	X  	B
 4034.20	 0.265	   4	2478.80	2478.81	CO  	13CO2-0P29       	X  	B
 4034.16	 0.308	  90	2478.83	2478.84	CO  	CO8-6R46         	X  	B
 4034.14	 0.329	   5	2478.85	2478.85	CO  	13CO6-4R25       	X  	B
 4034.11	 0.330	  83	2478.86	2478.86	CO  	CO8-6R50         	X  	B
 4034.07	 0.255	  59	2478.89	2478.89	CO  	CO6-4P4          	X  	B
 4033.98	 0.325	  91	2478.94	2478.96	CO  	CO8-6R45         	X  	B
